學年度,學期,學校,,,系所名稱,學制,對方學校（機構）國別(地區),對方學校(機構)名稱,,本國學生出國進修、交流人數,,
,,設立別,類別,名稱,,,,中文名稱,英文名稱,小計,男,女
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),西班牙王國,奧維多大學,UNIVERSITY OF OVIEDO,2,0,2
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),法國,里昂第二大學,UNIVERSITE LUMIERE LYON 2,2,0,2
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),法國,里爾政治學院,SCIENCES PO LILLE,1,1,0
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),法國,柏根蒂大學,UNIVERSITY OF BOURGOGNE,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),法國,特魯瓦高等商學院,GROUPE ECOLE SUPERIEURE DE COMMERCE DE TROYES,1,1,0
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),法國,索邦巴黎第一大學,PARIS 1 PANTHEON-SORBONNE UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),法國,荷榭大學,UNIVERSITY OF LA ROCHELLE,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),法國,雷恩第二大學,UNIVERSITE RENNES 2 - HAUTE BRETAGNE,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),法國,魯昂商學院,ROUEN BUSINESS SCHOOL,1,1,0
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),智利,智利發展大學,UNIVERSIDAD DEL DESARROLLO,2,2,0
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),德意志聯邦共和國,波昂大學,"UNIVERSITY OF BONN, THE",2,1,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),德意志聯邦共和國,埃兒富特大學,UNIVERSITY OF ERFURT,2,1,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),德意志聯邦共和國,海德堡大學,UNIVERSITY OF HEIDELBERG,2,0,2
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),德意志聯邦共和國,特里爾大學,"UNIVERSITY OF TRIER, THE",1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),德意志聯邦共和國,曼漢姆大學,UNIVERSITY OF MANNHEIM,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),德意志聯邦共和國,圖賓根大學,EBERHARD KARLS UNIVERSITAT TUBINGEN,2,0,2
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),德意志聯邦共和國,維爾茨堡大學,"UNIVERSITY OF WUERZBURG, THE",1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),德意志聯邦共和國,慕尼黑大學,LUDWIG-MAXIMILIANS-UNIVERSITAT MUNCHEN,1,1,0
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),墨西哥合眾國,瓜達拉哈拉自治大學,UNIVERSIDAD AUTONOMA DE GUADALAJARA,1,0,1
101,1,公立,一般大學,國立政治大學,歐洲語文學系,學士班(日間),墨西哥合眾國,蒙特瑞技術研究學院,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),中央大學,CHUNG-ANG UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),市立首爾大學,UNIVERSITY OF SEOUL,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),全北大學,CHONBUK NATIONAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),成均館大學,SUNGKYUNKWAN UNIVERSITY,2,1,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),西江大學,SOGANG UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),亞洲大學,AJOU UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),延世大學,YONSEI UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),東亞大學,DONG-A UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),釜山大學,PUSAN NATIONAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),釜山外國語大學,Busan University of Foreign Studies,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),高麗大學,KOREA UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),梨花女子大學,EWHA WOMANS UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),祥明大學,SANGMYUNG UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),漢陽大學,HANYANG UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),慶熙大學,KYUNG HEE UNIVERSITY,7,0,7
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),翰林大學,HALLYM UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,韓國語文學系,學士班(日間),大韓民國(南韓),韓國外國語大學,HANKUK UNIVERSITY OF FOREIGN STUDIES,1,0,1
