學年度,學期,學校,,,系所名稱,學制,對方學校（機構）國別(地區),對方學校(機構)名稱,,本國學生出國進修、交流人數,,
,,設立別,類別,名稱,,,,中文名稱,英文名稱,小計,男,女
101,1,公立,一般大學,國立政治大學,心理學系,學士班(日間),CHN,華東師範大學,EAST CHINA NORMAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,心理學系,學士班(日間),POL,華沙大學,UNIVERSITY OF WARSAW,1,0,1
101,1,公立,一般大學,國立政治大學,心理學系,學士班(日間),USA,康乃狄克大學,UNIVERSITY OF CONNECTICUT,1,0,1
101,1,公立,一般大學,國立政治大學,心理學系,學士班(日間),NLD,提堡大學,TILBURG UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,心理學系,碩士班(日間),NOR,挪威經濟管理學院,NORWEGIAN SCHOOL OF ECONOMICS AND BUSINESS ADMINISTRATION,1,0,1
101,1,公立,一般大學,國立政治大學,亞太研究英語碩士學位學程,碩士班(日間),DEU,基爾大學,UNIVERSITY OF KIEL,1,0,1
101,1,公立,一般大學,國立政治大學,公共行政學系,學士班(日間),CHN,南開大學,NANKAI UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,公共行政學系,學士班(日間),CZE,奧斯特拉瓦科技大學,V?B - TECHNICAL UNIVERSITY OF OSTRAVA,1,0,1
101,1,公立,一般大學,國立政治大學,公共行政學系,學士班(日間),NLD,葛洛寧恩大學,UNIVERSITY OF GRONINGEN,1,1,0
101,1,公立,一般大學,國立政治大學,公共行政學系,學士班(日間),DEU,法蘭克福金融與管理學院,FRANKFURT SCHOOL OF FINANCE & MANAGEMENT,1,0,1
101,1,公立,一般大學,國立政治大學,公共行政學系,學士班(日間),DEU,齊柏林大學,ZEPPELIN UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),CHN,北京大學,PEKING UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),CHN,南京大學,NANJING UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),CHN,清華大學,TSINGHUA UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),CHN,復旦大學,FUDAN UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),CHN,華東師範大學,EAST CHINA NORMAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),FRA,斯凱瑪高等商業管理學院,SKEMA BUSINESS SCHOOL,1,1,0
101,1,公立,一般大學,國立政治大學,地政學系,學士班(日間),USA,伊利諾州立大學,ILLINOIS STATE UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),TRU,畢爾坎特大學,BILKENT UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),CHN,中國人民大學,RENMIN UNIVERSITY OF CHINA,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),JPN,慶應義塾大學,KEIO UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),ESP,馬德里卡洛斯三世大學,UNIVERSIDAD CARLOS III DE MADRID,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),POL,華沙大學,UNIVERSITY OF WARSAW,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),FRA,巴黎高等政治學院,SCIENCES PO,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),FRA,圖盧茲商學院,TOULOUSE BUSINESS SCHOOL,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),RUS,喀山聯邦大學,KAZAN FEDERAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),USA,伊利諾州立大學,ILLINOIS STATE UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),USA,美利堅大學,AMERICAN UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),USA,斯克蘭頓大學,UNIVERSITY OF SCRANTON,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),CZE,大都會大學,METROPOLITAN UNIVERSITY PRAGUE,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),AUT,克姆斯應用科學大學,IMC UNIVERSITY OF APPLIED SCIENCES KREMS,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),IRL,都柏林理工學院,DUBLIN INSTITUTE OF TECHNOLOGY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),SWE,烏普薩拉大學,UPPSALA UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),ITA,杜林大學,UNIVERSITY OF TURIN,2,0,2
101,1,公立,一般大學,國立政治大學,外交學系,學士班(日間),JPN,秋田國際教養大學,AKITA INTERNATIONAL UNIVERSITY,2,0,2
101,1,公立,一般大學,國立政治大學,外交學系,碩士班(日間),CHN,北京大學,PEKING UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,碩士班(日間),KOR,首爾大學,SEOUL NATIONAL UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,外交學系,碩士班(日間),KOR,翰林大學高等國際研究學院,HALLYM UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,外交學系,碩士班(日間),THA,曼谷大學,BANGKOK UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,國家發展研究所,碩士班(日間),CHN,上海交通大學,SHANGHAI JIAO TONG UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,勞工研究所,碩士班(日間),CHN,南京大學,NANJING UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,傳播學士學位學程,學士班(日間),CHN,清華大學,TSINGHUA UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,傳播學士學位學程,學士班(日間),FIN,坦佩利大學,"UNIVERSITY OF TAMPERE, THE",1,0,1
101,1,公立,一般大學,國立政治大學,傳播學士學位學程,學士班(日間),USA,伊利諾州立大學,ILLINOIS STATE UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,國際傳播英語碩士學位學程,碩士班(日間),AUS,昆士蘭大學,UNIVERSITY OF QUEENSLAND,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,學士班(日間),JPN,中央大學,CHUNG-ANG UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,學士班(日間),FRA,里爾政治學院,SCIENCES PO LILLE,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,學士班(日間),CZE,馬薩里克大學,MASARYK UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,新聞學系,學士班(日間),IRL,都柏林理工學院,DUBLIN INSTITUTE OF TECHNOLOGY,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,學士班(日間),DEU,卡爾國際大學,KARLSHOCHSCHULE INTERNATIONAL UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,學士班(日間),DEU,歐洲應用科技大學,EUROPEAN UNIVERSITY OF APPLIED SCIENCES,1,1,0
101,1,公立,一般大學,國立政治大學,新聞學系,碩士班(日間),CHN,中國人民大學,RENMIN UNIVERSITY OF CHINA,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,碩士班(日間),FRA,巴黎政治大學,SCIENCES PO PARIS,1,0,1
101,1,公立,一般大學,國立政治大學,新聞學系,碩士班(日間),SWE,林奈大學,LINNAEUS UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,新聞學系,博士班,DEU,曼漢姆大學,UNIVERSITY OF MANNHEIM,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),CHN,上海交通大學,SHANGHAI JIAO TONG UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),ESP,那瓦納大學,UNIVERSIDAD DE NAVARRA,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),FRA,雷恩第二大學,UNIVERSITE RENNES 2 - HAUTE BRETAGNE,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),USA,史丹福大學,STANFORD UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),USA,普渡大學,PURDUE UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),THA,法政大學,TANTA UNIVERSITY,1,1,0
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),THA,曼谷大學,BANGKOK UNIVERSITY,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),DEU,新烏爾姆應用科技大學,NEU-ULM UNIVERSITY OF APPLIED SCIENCES,1,0,1
101,1,公立,一般大學,國立政治大學,廣播電視學系,學士班(日間),HKG,香港中文大學,CHINESE UNIVERSITY OF HONG KONG,1,0,1
